"Submit_ID","Brand_Reg","Model_No","Family Name","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Pasv_stnd_power","Act_stnd_power","Act_stnd_time","Avg_mode_power","Star","SRI","Labelled energy consumption (kWh/year)","SubmitStatus","ExpDate","GrandDate","Product Class","Availability Status","Star2","Product Website","Representative Brand URL","Star Rating Index","Star Image Large","Star Image Small","Power supply","Tuner Type","What test standard was used","Registration Number","Regulatory Standard","ScreenSize_inch"
56509,"Thomson","32D6","LED (backlighting) TV","Australia,New Zealand","China",80.103,2743.14,"LCD","0.7","0.0","0.0",130,"2.0","2.21640719508094",479,"Approved","2027-11-27","2013-05-21","Single product class","Unavailable",1,"http://www.ayonz.com/","http://www.ifisource.com","0.216407195080943","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png","-","Analogue","AS/NZS 62087.1:2010","ZTV0001","AS/NZS 62087.2.2:2010 (Legacy)",32
62312,"Thomson","CTF2291","LED (backlighting) TV","New Zealand","China",55.073,1296,"LCD","0.39","0.0","0.0",25,"7.0","7.07053423979254",94,"Approved","2112-02-15","2013-05-21","Single product class","Unavailable",5,"http://www.ayonz.com/","http://www.samsung.com.au","5.07053423979254","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0042","AS/NZS 62087.2.2:2010 (Legacy)",22
62620,"Teac","LEDV1605DT","LED (backlighting) TV","New Zealand","China",39.486,666.027,"LCD","0.5","0.0","0.0",20,"6.0","6.32358364125942",76,"Superseded","2111-12-06","2022-03-07","Single product class","Unavailable",4,"http://www.ayonz.com/","http://www.teac.co.nz","4.32358364125942","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0033","AS/NZS 62087.2.2:2010 (Legacy)",16
63388,"Panasonic","THP42ST50Z","LED (backlighting) TV","New Zealand","Thailand",106.561,4849.38,"Plasma","0.4","13.0","0.3",100,"5.5","5.52461983706064",369,"Superseded","2027-11-27","2013-05-21","Single product class","Unavailable",3.5,"http://www.panasonic.co.nz/","http://www.panasonic.co.nz","3.52461983706064","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0034","AS/NZS 62087.2.2:2010 (Legacy)",42
63389,"Panasonic","THP50ST50Z","LED (backlighting) TV","New Zealand","Thailand",126.803,6873.1,"Plasma","0.4","13.0","0.3",137,"5.5","5.52075085235946",504,"Superseded","2027-11-27","2013-05-21","Single product class","Unavailable",3.5,"http://www.panasonic.co.nz/","http://www.panasonic.co.nz","3.52075085235946","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0035","AS/NZS 62087.2.2:2010 (Legacy)",50
63470,"Panasonic","THL32X50Z","LED (backlighting) TV","New Zealand","Malaysia",80.103,2743.14,"LCD (LED)","0.3","7.52","0.15",29.54,"8.0","8.80956313865946",110,"Superseded","2027-11-27","2013-05-21","Single product class","Unavailable",6,"http://www.panasonic.co.nz/","http://www.panasonic.co.nz","6.80956313865946","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0036","AS/NZS 62087.2.2:2010 (Legacy)",32
63695,"Panasonic","THL32E5Z","LED (backlighting) TV","New Zealand","Malaysia",80.103,2743.14,"LCD (LED)","0.25","8.3","0.15",39,"7.0","7.57155569904869",145,"Superseded","2112-02-14","2013-05-21","Single product class","Unavailable",5.5,"http://www.panasonic.co.nz/","http://www.panasonic.co.nz","5.57155569904869","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0037","AS/NZS 62087.2.2:2010 (Legacy)",32
63696,"Panasonic","THL42E5Z","LED (backlighting) TV","New Zealand","Malaysia",106.697,4863.9,"LCD (LED)","0.15","13.7","0.15",56,"8.0","8.14864174230585",206,"Superseded","2112-02-14","2013-05-21","Single product class","Unavailable",6,"http://www.panasonic.co.nz/","http://www.panasonic.co.nz","6.14864174230585","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0040","AS/NZS 62087.2.2:2010 (Legacy)",42
63697,"Panasonic","THL47E5Z","LED (backlighting) TV","New Zealand","Malaysia",119.265,6076.462,"LCD (LED)","0.15","13.2","0.15",70,"8.0","8.04089011632996",257,"Superseded","2112-02-14","2013-05-21","Single product class","Unavailable",6,"http://www.panasonic.co.nz/","http://www.panasonic.co.nz","6.04089011632996","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0039","AS/NZS 62087.2.2:2010 (Legacy)",47
63698,"Panasonic","THP42UT50Z","LED (backlighting) TV","New Zealand","Thailand",106.561,4849.38,"Plasma","0.4","14.0","0.3",112,"5.0","5.01978360828753",413,"Superseded","2112-02-14","2013-05-21","Single product class","Unavailable",3,"http://www.panasonic.co.nz/","http://www.panasonic.co.nz","3.01978360828753","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0038","AS/NZS 62087.2.2:2010 (Legacy)",42
